pu,do,osrm_distance_m,osrm_duration_s
10,5,48873.8,3233.9
10,6,34016.4,2114.3
10,7,18592.3,1253.5
10,8,18836.8,1185.0
10,9,11615.9,835.4
10,10,0.0,0.0
10,11,26835.2,1649.3
10,12,25465.0,1849.9
10,13,26621.3,1981.3
10,14,30976.5,1895.8
10,15,18498.5,1089.8
10,16,14655.9,985.8
10,17,16298.2,1363.7
10,18,28705.2,1803.7
10,19,13887.6,894.5
10,20,26815.1,1695.6
10,21,25057.1,1619.0
10,22,22449.4,1649.1
10,23,42393.0,2612.9
10,24,26979.4,1819.6
10,25,26748.6,1743.4
11,1,29336.2,1929.6
11,2,26796.6,1807.4
11,3,44094.2,2909.1
11,4,18536.6,1453.4
11,5,22842.3,1751.1
11,6,7984.8,631.5
11,7,29080.4,1959.4
11,8,29093.6,1963.4
11,9,34954.8,2245.1
11,10,27159.3,1690.5
11,11,0.0,0.0
11,12,13316.1,894.1
11,13,14472.4,1025.5
11,14,3580.4,333.9
11,15,37431.5,2425.3
11,16,40033.9,2405.4
11,17,13674.8,1283.4
11,18,37679.9,2856.3
11,19,38534.0,2237.9
11,20,37464.5,2819.1
11,21,2884.1,315.7
11,22,1871.2,241.5
11,23,16361.5,1130.1
11,24,26058.8,2143.6
11,25,13198.3,983.8
12,1,23058.2,1664.9
12,2,27251.7,2184.1
12,3,29285.2,2237.9
12,4,6791.1,639.2
12,5,32395.1,2312.7
12,6,17537.7,1193.1
12,7,15453.7,1385.3
12,8,16116.6,1351.9
12,9,25157.0,1839.6
12,10,27990.1,1969.5
12,11,15342.0,1095.9
12,12,0.0,0.0
12,13,1156.3,131.4
12,14,13169.3,923.6
12,15,27633.6,2019.8
12,16,28082.2,2021.4
12,17,8621.0,943.7
12,18,24363.7,1962.2
12,19,30951.8,2162.8
12,20,24148.4,1925.0
12,21,14372.3,1136.3
12,22,14250.0,1068.8
12,23,25914.3,1691.7
12,24,12742.7,1249.5
12,25,5457.2,669.9
13,1,22284.3,1612.6
13,2,26738.3,2127.6
13,3,28598.6,2244.2
13,4,6806.1,660.5
13,5,31881.7,2256.2
13,6,17024.3,1136.6
13,7,15468.7,1406.6
13,8,16131.7,1373.2
13,9,25370.8,1875.4
13,10,28204.0,2005.3
13,11,14828.6,1039.4
13,12,7703.7,597.2
13,13,0.0,0.0
13,14,12655.8,867.1
13,15,27847.5,2055.6
13,16,28296.1,2057.2
13,17,8834.9,979.5
13,18,23589.8,1909.9
13,19,31165.7,2198.6
13,20,23374.5,1872.7
13,21,13858.9,1079.8
13,22,13736.6,1012.3
13,23,25400.9,1635.2
13,24,11968.7,1197.2
13,25,6766.9,620.6
14,1,27574.0,1791.8
14,2,30934.8,2064.0
14,3,40785.3,2725.9
14,4,15227.7,1270.2
14,5,21080.1,1613.3
14,6,6222.7,493.7
14,7,25771.6,1776.2
14,8,25784.8,1780.2
14,9,31645.9,2061.9
14,10,31297.5,1947.1
14,11,4028.8,354.5
14,12,10007.2,710.9
14,13,11163.5,842.3
14,14,0.0,0.0
14,15,34122.6,2242.1
14,16,34571.1,2243.7
14,17,15109.9,1166.0
14,18,34371.0,2673.1
14,19,37440.7,2385.1
14,20,34155.6,2635.9
14,21,5563.2,518.0
14,22,4540.5,406.1
14,23,14599.3,992.3
14,24,22749.9,1960.4
14,25,9889.4,800.6
15,1,46992.9,3035.9
15,2,26045.4,1733.9
15,3,13738.5,962.0
15,4,26092.0,1598.7
15,5,57240.6,3555.0
15,6,42383.1,2435.4
15,7,15310.1,1242.4
15,8,15554.6,1173.9
15,9,4715.4,312.1
15,10,16724.2,1003.9
15,11,40187.5,2338.2
15,12,33086.3,1904.5
15,13,28504.8,1963.0
15,14,38014.7,2165.9
15,15,0.0,0.0
15,16,3794.1,252.6
15,17,22150.3,1489.1
15,18,18162.2,1193.3
15,19,10258.5,532.1
15,20,16272.2,1085.2
15,21,34115.4,2243.3
15,22,34480.8,2240.8
15,23,50759.8,2934.0
15,24,25080.7,1565.6
15,25,27481.1,1683.2
16,1,44914.4,3025.8
16,2,23966.9,1723.8
16,3,15405.3,1029.9
16,4,24013.5,1588.6
16,5,55162.1,3544.9
16,6,40304.6,2425.3
16,7,14684.1,1208.6
16,8,14928.6,1140.1
16,9,2636.9,260.5
16,10,14645.7,993.8
16,11,38109.0,2328.1
16,12,31007.8,1894.4
16,13,26426.3,1952.9
16,14,35936.2,2155.8
16,15,4701.9,319.8
16,16,0.0,0.0
16,17,20071.8,1479.0
16,18,19829.1,1261.2
16,19,6822.3,493.2
16,20,17939.0,1153.1
16,21,32036.8,2233.2
16,22,32402.3,2230.7
16,23,48681.2,2923.9
16,24,26747.5,1633.5
16,25,25402.6,1673.1
17,1,27603.5,2162.2
17,2,16812.1,1650.2
17,3,29575.9,2078.3
17,4,6702.6,725.0
17,5,35456.2,2523.9
17,6,20598.7,1404.3
17,7,14562.2,1128.6
17,8,14575.4,1132.6
17,9,20436.5,1414.3
17,10,16119.4,1460.6
17,11,14900.4,1287.6
17,12,11301.9,873.4
17,13,7875.5,939.7
17,14,16230.3,1134.8
17,15,22913.2,1594.5
17,16,23361.7,1596.1
17,17,0.0,0.0
17,18,28121.7,2061.1
17,19,22095.4,1700.3
17,20,28002.6,2010.4
17,21,13092.0,1193.9
17,22,13064.4,1151.1
17,23,28975.3,1902.9
17,24,18967.9,1650.7
17,25,3718.4,504.9
18,1,42943.9,2516.0
18,2,38146.2,2571.7
18,3,5636.4,501.6
18,4,21479.5,1683.2
