location_id,recent_zone_speed_snapshot
7,13.910759204953017
57,8.360946745562131
77,11.925995537835345
80,11.610778391248557
84,19.613052763313664
86,17.667612692633654
144,8.55394133743531
187,15.051616466601226
211,8.103375788733986
231,10.055947866679563
241,16.054879556548613
243,15.105938258251866
250,15.932608401537218
2,28.956521739130434
28,20.617520611623263
39,15.562864062177532
60,11.711289103079029
63,16.587964703308533
117,16.334930930431188
145,15.072475492112368
191,22.79494733049395
199,21.878603945371776
212,20.056143718358214
14,18.09980888956323
30,16.826883910386965
44,22.21518987341772
65,15.023451690296048
75,16.78863883884543
135,18.75673788188906
143,16.391530952952206
154,16.718326576670705
160,16.954623098414242
172,21.770544360518908
184,21.06
225,10.91017255519588
257,17.68090779860411
3,13.590887927796288
38,20.909552925014527
41,15.018530023996574
76,14.210159501595724
82,14.814696310279222
89,12.63237337307424
105,37.01647058823529
109,20.157222466252755
152,17.333895820858203
178,11.24792214226886
185,15.942306743492827
210,16.047359329291538
218,15.238379079527922
20,17.171910657674303
69,13.394439405907152
186,9.695249176950508
223,16.966678193372104
262,15.33443104091202
53,20.23709030806815
113,10.035792813024274
151,15.384097566850624
176,16.02826855123675
188,12.630245787257241
126,14.728097895430237
138,23.70874512718107
161,11.035569849315051
197,14.749467704513036
202,14.427368094242624
258,14.768530047089968
4,8.758199212924529
23,21.442461058202195
33,15.684784266949928
51,21.27322892033789
120,12.668948655256722
136,16.37008879984294
206,14.778971269536704
234,9.25450366222606
106,14.076927270223429
141,13.876393875076394
157,13.737137205789193
221,20.199959706706426
226,14.187520769804857
227,12.222083563266764
25,12.932916426289987
95,17.73941590016093
100,10.99605911280455
123,12.16210835117972
133,12.989346246409147
219,15.481457842715447
233,11.198867224519354
263,14.824034878789437
27,30.41454545454545
48,11.23196170697136
90,8.801919488075576
112,12.265979363687883
222,16.647880554225168
248,14.69057607079794
256,11.594703995575117
29,16.881618796566727
47,13.311679412834714
156,19.89963691619403
181,12.549289476922892
10,15.847956630282425
18,12.728359594373574
34,10.739904763947578
49,12.496677558380824
93,22.78873916457035
131,14.134730988578099
137,12.27998609799504
158,6.884248678786548
208,21.224272630219847
230,10.29168472788652
242,15.1777103732182
50,11.754127107673535
74,17.312437830223413
173,10.91659623554087
200,21.435297041006336
207,18.026470588235295
42,15.799506346779172
124,16.51512678351495
125,10.493711123925946
128,17.324523497525004
190,13.424443377886194
195,16.256364859322268
217,11.900017161454253
239,14.318021253757015
251,17.303287970844206
5,29.26313879210221
9,17.71280979276248
17,11.792859416345792
79,8.898575913319899
114,7.619080695560432
115,18.685470564203047
162,11.109361702537754
177,13.505003398112786
198,12.590635206405034
213,17.073505548675495
35,12.333408983955875
54,12.560314148975333
62,13.498810903677386
64,23.877498905852363
85,13.601174550994717
165,12.654634602715866
189,12.029700886232858
194,22.951289822675097
229,11.644985733126019
235,13.996858172968558
8,22.675977653631286
13,11.240176632935372
19,25.19327051411373
59,16.914076782449726
61,12.065556035039133
119,12.61270664781938
127,15.471545775187371
149,12.623122243129247
175,28.801497970150834
209,10.681013403598673
216,17.30154754819132
107,10.029593321622105
130,15.135574047875572
139,17.940150459541993
150,14.953039259082535
167,11.864278626163856
192,22.420286276309273
246,8.612726828533244
15,21.840279731539574
22,16.159186917258783
52,16.203639621761248
81,19.31944645128289
92,18.071827852691396
132,25.2607832530878
166,15.682553776237578
180,16.88819230357727
183,20.273913179459484
249,7.754512163756202
253,11.063414634146342
55,18.632530479894676
67,13.082849155978302
91,13.665200450514956
110,12.651428571428571
118,15.172981634413905
122,19.766319309980638
155,17.595119576605455
238,17.75593717817662
244,17.066638437990672
254,15.917778502683205
259,18.8456339856224
6,18.11799889365233
58,18.959999999999997
73,14.025775547202715
94,13.040504205778777
147,15.904156918989298
164,10.293620119751884
201,25.071019458340903
12,11.751777634130574
36,11.008270310485342
68,9.152005730162275
98,19.649862346766984
116,15.745509675781332
142,12.722990743273972
146,16.421539814530814
215,12.893331419315963
24,12.98917018430808
40,13.80011860615773
43,11.864239100569202
45,10.652493017333184
56,16.441371626036922
72,13.376047551157349
111,9.885856079404466
171,17.27255776850947
193,16.776207591726383
196,16.01503644935073
203,21.528006498216666
232,11.482098082097668
78,14.732413994097241
121,17.73453046488187
214,19.90447151192493
260,14.969940637304203
21,15.170415197032286
87,12.397940916499616
99,31.110618066561013
148,10.298307338442035
245,13.847222506528853
247,13.605091264299386
252,20.302793511069748
46,29.257532701205232
66,13.32658254257331
102,17.77685012111993
140,16.586781140632933
153,18.36635994511807
169,12.330378104896486
240,22.064087361062587
261,12.899368468750776
71,13.18196985485055
88,12.150304440867487
101,29.186390050972722
129,13.612559973633795
228,16.682661250380168
70,14.593471775152905
108,17.333746720623363
159,13.746418667378395
170,10.176809857340613
174,15.349647374354248
37,11.055261616681545
96,21.209700427960055
168,15.496972142742441
205,15.63174731070053
224,11.79066132909689
237,9.623085545580693
255,10.799092714015236
31,21.909231806206645
32,13.106684734049262
97,13.602612711122793
163,10.48019870468702
179,13.839242284387018
204,27.407553816046963
11,14.414550613839895
16,20.857466957908056
26,12.063405783944928
83,11.255609827881395
134,18.875295442122873
182,21.808999102671454
220,16.112457505224878
236,13.777862048096901
