hour,avg_mph
0,15.37345071179091
1,15.627910341279033
2,16.21250667056154
3,17.742958968112898
4,20.13461421114218
5,19.931778885294868
6,16.852749871297338
7,13.550327897470714
8,12.353961092484235
9,12.86320750693794
10,12.988575992277498
11,12.751183860293375
12,12.626737104865066
13,12.446787777607717
14,11.73188661699998
15,11.297567481124405
16,11.030736304062192
17,10.82365825730456
18,11.189828509859376
19,12.119062585429425
20,13.125274443821327
21,13.885912293433343
22,14.35550663197181
23,14.862024382890674
